caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2097,13.980,60.000,0.233,1.000,0.597,0.591,0.139,0.211,0.767,0.000,0.000,0.000,0.000,0.497,0.093,0.316,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,671,4.473,60.000,0.075,1.000,0.670,0.667,0.050,0.329,0.925,0.000,0.000,0.000,0.000,0.775,0.016,0.160,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7527,50.180,60.000,0.836,1.000,0.529,0.463,0.442,0.087,0.164,0.000,0.000,0.000,0.465,0.032,0.696,0.701,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1617,10.780,10.820,0.180,0.180,0.586,0.612,0.105,0.217,0.820,0.580,0.240,0.000,0.212,0.579,0.060,0.251,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5167,34.447,60.000,0.574,1.000,0.520,0.475,0.298,0.110,0.426,0.000,0.000,0.500,0.401,0.287,0.391,0.559,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,1732,11.547,11.640,0.192,0.194,0.582,0.638,0.112,0.243,0.808,0.806,0.000,0.000,0.221,0.579,0.059,0.231,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc-strong,Default pass + strong cross-bloc cosponsors,9000,60.000,511,3.407,3.407,0.057,0.057,0.636,0.728,0.036,0.349,0.943,0.943,0.000,0.000,0.061,0.833,0.012,0.136,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc-challenge,Default pass + cross-bloc cosponsors + challenge,9000,60.000,1369,9.127,11.560,0.152,0.193,0.604,0.647,0.092,0.267,0.848,0.807,0.000,0.129,0.063,0.637,0.042,0.212,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3668,24.453,55.427,0.408,0.924,0.560,0.566,0.228,0.147,0.592,0.076,0.000,0.000,0.260,0.218,0.212,0.418,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track-challenge,Default pass + adaptive tracks + challenge,9000,60.000,4383,29.220,55.393,0.487,0.923,0.540,0.535,0.263,0.132,0.513,0.077,0.000,0.492,0.341,0.192,0.271,0.449,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,3918,26.120,60.000,0.435,1.000,0.549,0.580,0.239,0.122,0.565,0.000,0.000,0.000,0.392,0.123,0.261,0.488,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-challenge,Default pass + sunset trial + challenge,9000,60.000,3001,20.007,60.000,0.333,1.000,0.551,0.584,0.184,0.147,0.667,0.000,0.000,0.500,0.309,0.332,0.169,0.403,0,0
