public_law_number,bill_id,docket_id,comment_id,comment_record_retrieval_status,comment_detail_review_scope,source_retrieved_comment_count,source_expected_comment_count,detail_fetch_status,api_key_mode,document_type,posted_date,receive_date,modify_date,withdrawn,comment_on_document_id,comment_text_available,comment_text_character_count,comment_text_word_count,comment_text_sha256,implementation_timing_cue,cost_or_burden_cue,compliance_or_standard_cue,safety_or_security_cue,program_design_cue,cue_terms,attachment_count,attachment_detail_status,omitted_fields,api_urls,source_urls,evidence_layers,missing_links,claim_boundary
117-269,117-hr-2472,MARAD-2022-0247,MARAD-2022-0247-0002,complete_comment_record_metadata_retrieved,complete_docket_detail,1,1,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/MARAD-2022-0247-0002,https://www.federalregister.gov/documents/2022/12/07/2022-26358/tanker-security-program,regulations_gov_complete_comment_record_metadata,complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0020,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0020,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0021,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0021,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0022,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0022,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0023,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0023,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0024,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0024,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0025,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0025,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0026,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0026,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0027,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0027,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0028,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0028,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0029,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0029,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0030,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0030,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0031,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0031,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0032,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0032,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
117-238,117-hr-7925,CMS-2024-0199,CMS-2024-0199-0033,partial_comment_record_metadata_api_error,partial_docket_sample_detail,2500,22,comment_detail_api_error:HTTPError429,public_demo_key,,,,,,,no,0,0,,no,no,no,no,no,,0,,comment_body; firstName; lastName; address1; address2; city; stateProvinceRegion; zip; email; phone; fax; organization; trackingNbr,https://api.regulations.gov/v4/comments/CMS-2024-0199-0033,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,regulations_gov_partial_comment_record_metadata,complete_regulations_comments; complete_public_comment_detail; full_comment_text_corpus; attachment_text_review; commenter_identity_review; sentiment_or_position_coding; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; causal_implementation_effect; model_validation,"Sanitized Regulations.gov public comment-detail review for complete bounded comment-record rows and bounded partial-docket samples. It records text availability, normalized text hash, text length, attachment count, source comment-record status, and coarse implementation-related cue flags while omitting the comment body and submitter/contact fields. Partial sample rows do not prove complete docket coverage. This is not a full comment-text corpus, attachment text, commenter-identity validation, sentiment or position coding, representativeness evidence, Unified Agenda stage coverage, enforcement outcome, appropriations capacity, implementation-outcome evidence, public benefit, welfare, causal-effect, or model-validation evidence."
